retailer,name,brand,description,price,link,image
Independence,Army Shirt,Orslow,100% Green Cotton. Two Button Closure Flap Chest Pockets. Made in Japan.,265,https://independence-chicago.com/orslow-us-army-shirt-green-used/,https://independence-chicago.com/media/catalog/product/cache/1/thumbnail/600x900/17f82f742ffe127f42dca9de82fb58b1/i/n/independence-orslow-us-army-shirt-green-used-detial-3.jpg
Independence,Navy Independence Hat ,Ebbets Field Flannels,Made of wool broadcloth. Soft crown with goat hair buckram. Green satin undervisor and inner taping. Authentic felt lettering. Adjustable Leather Strap. Nickel clip. Exclusive for Independence. Made in Seattle.,50,https://independence-chicago.com/ebbets-field-flannels-independence-wool-hat-blue/,https://independence-chicago.com/media/catalog/product/cache/1/thumbnail/900x600/17f82f742ffe127f42dca9de82fb58b1/e/b/ebbets_field_flannels_independence_hat.jpg
Independence,Popover Shirt,Gitman Bros. Vintage,100% Cotton. Button-Down Collar. Locker Loop. V-Stitch Chest Pocket. Box Pleat Back. Made in Ashland.,190,https://independence-chicago.com/gitman-bros-vintage-short-sleeve-popover-blackwatch-plaid/,https://independence-chicago.com/media/catalog/product/cache/1/thumbnail/600x900/17f82f742ffe127f42dca9de82fb58b1/i/n/independence-gitman-bros-vintage-short-sleeve-popover-blackwatch-plaid_1.jpg
Independence,Ecrue Warm Up Fleece,Battenwear,100% Polyester Fleece. 1 Button Chest Pocket. Two Way Zipper. Elastic Waist. Elastic Cuff. Made in New York.,111.69,https://independence-chicago.com/battenwear-warm-up-fleece-ecru-white/,https://independence-chicago.com/media/catalog/product/cache/1/thumbnail/600x900/17f82f742ffe127f42dca9de82fb58b1/b/a/battenwear-warm-up-fleece-ecru-white.jpg
Mildblend Supply Co.,Mildblend Supply Co. X Momotaro 14.7 with Arc in Indigo,Mildblend Supply Co,14.7oz Zimbabwe Cotton. Tight Tapered. Horween Shell Cordovan Patch. All Copper fittings. 34 Inch Inseam. Made in Japan. Recommend purchasing one size up.,295,https://mildblend.com/products/mildblend-supply-co-x-momotaro-14-7-with-arc-in-indigo-1,https://cdn.shopify.com/s/files/1/0757/5223/products/20151116_182212_resized_02b79de5-0b69-4bfb-8efa-f7d393afecd1_1024x1024.jpg?v=1447876212
Mildblend Supply Co.,Rogue Territory Supply Jacket Dark Indigo,Rogue Territory,Modern interpretation of the classic denim jacket. 4 pockets clean finished with white bias tape. Placket and interior pocket cut on selvedge. Front welt pockets. Chain-stitched seams. Adjustable tabs on waistband. Raw nickel crossed feather branded buttons. Hand silk screened care instructions on interior. Handmade in downtown Los Angeles.,255,https://mildblend.com/products/rogue-territory-supply-jacket-dark-indigo,https://cdn.shopify.com/s/files/1/0757/5223/products/RogueTerritory_DarkSupplyJacket_front_1024x1024.jpg?v=1455066254
Mildblend Supply Co.,Stevenson Overalls Slinger Jacket in Navy Canvas,Stevenson Overall Co.,"The Slinger is a ranch jacket designed by Stevenson Overall Co. The front body features V-shaped pleats on both sides and rivets for a distinctive design. Positioning of the top button is low, allowing the collar to open and structure into a horizontal collar. The front yoke is sewn diagonally using flat felled stitching with 5.6mm twin-needle head and all lock stitching is done with a narrow width for a clean finish. Pocket flaps feature a curved stitch design. Backside features vertical pleats with a large buckle-back and each end is inserted between the pleats and sewn. Made in Japan. ",359,https://mildblend.com/products/stevenson-overalls-slinger-jacket-in-navy-canvas,https://cdn.shopify.com/s/files/1/0757/5223/products/1107-sub_image1_1024x1024.jpg?v=1476140149
Self Edge,"""3 Tabs For Breakfast"" Heavy Winter Flannel - Navy/Salmon",The Flat Head,From Flat Head's new Winter line. Made of a heavy cotton flannel but the interior has been combed to a super soft feel. The fabric is woven on a vintage loom and therefore has a very three dimensional pattern due to the loom and also the extra heavy gauge of thread. 100% Cotton Selvedge Flannel. Flat Felled Inner Seams. Urea Buttons. Made in Japan. Combed Interior. Rinsed (Will not shrink).,285,http://www.selfedge.com/the-flat-head?product_id=1741,http://www.selfedge.com/image/cache/catalog/FH_FLANNEL_0001-684x1025.jpg
Self Edge,Heavy Loopwheeled Zip Hoodie - Black,The Strike Gold,The ultimate loopwheeled hoodie comes from Strike Gold. Their first attempt at doing a loopwheeled hoodie and they win on every count. Available in three colors these heavy weight inner brushed hoodies will last a lifetime and are super soft on the inside and sturdy on the outside. They've been woven a bit tighter than traditional loopwheeled hoodie fabrics to make them a bit more windproof.,295,http://www.selfedge.com/sweaters-hoodies?product_id=843,http://www.selfedge.com/image/cache/zencart/SG_HOODIE_BLK_01-683x1026.JPG
Self Edge,Nep Denim Jeans - Slim Straight,Studio D'Artisan,A newly developed denim from Studio D'Artisan using mixed cotton fibers to create a nep denim that has a lot of character even in its raw state. Great details such as a triple stitched yoke and raised and tucked belt loops. 15oz Unsanforized Japanese Selvedge Denim. Indigo-Dyed. Jacquard Loom Woven Pocket Bags. Button Fly. Made in Japan.,345,http://www.selfedge.com/studio-dartisan?product_id=1739,http://www.selfedge.com/image/cache/catalog/SA_DENIM_01-684x1025.jpg
Self Edge,Stadium Jacket - Black,3Sixteen,8oz 100% Cotton Waxed Canvas. Heavy Black Varsity Jacket Ribbing. Quilted Jersey Lining. Gunmetal Double YKK Zipper. Hidden Inner Pocket. Made In USA. ,330,http://www.selfedge.com/3sixteen?product_id=1734,http://www.selfedge.com/image/cache/catalog/316_JACKET_0001-684x1025.jpg
